Method,GUID,Leaky,Random,Re-use,Sync,Cache,Format,Ops/sec,Deviation,Mean,MOE,RME,Samples,SEM,Variance
/dev/urandom,Y,Y,Y,Y,N,256,buffer,842065.8989664941,8.519310954184561e-8,0.0000011875555122554489,1.866876324671497e-8,1.5720328905937684,80,9.524879207507637e-9,7.257865913408906e-15
/dev/urandom,Y,Y,Y,Y,Y,256,buffer,3209936.661927542,5.509875843424612e-9,3.1153262675267483e-7,1.1022047229356544e-9,0.3538007349100846,96,5.623493484365584e-10,3.0358731809954076e-17
/dev/urandom,Y,Y,Y,N,N,4096,hex,1442515.2961236846,4.794445399494846e-8,6.932335502349208e-7,1.0377375274115364e-8,1.4969522566527127,82,5.294579221487431e-9,2.2986706688737297e-15
/dev/urandom,Y,Y,Y,Y,N,4096,hex,1491618.3567758985,4.492212543808507e-8,6.704127737885171e-7,9.906102603597054e-9,1.4776124487630886,79,5.054133981427068e-9,2.0179973538750498e-15
/dev/urandom,Y,Y,Y,Y,Y,4096,hex,2385100.163925019,1.500367524199765e-8,4.192696034846431e-7,3.171060302793218e-9,0.7563296448008225,86,1.6178879095883764e-9,2.2511027076733326e-16
/dev/urandom,Y,Y,Y,N,N,4096,buffer,1991035.1794839858,2.7767392464502283e-8,5.022512963629145e-7,6.242871185517383e-9,1.2429776151352006,76,3.1851383599578487e-9,7.710280842776982e-16
/dev/urandom,Y,Y,Y,Y,N,4096,buffer,2112026.105695658,3.1508912130223957e-8,4.7347899597605616e-7,6.948257978575016e-9,1.4674902239858576,79,3.5450295809056204e-9,9.928115436301744e-16
/dev/urandom,Y,Y,Y,Y,Y,4096,buffer,4133550.6350183394,3.804176261219509e-9,2.419227652682579e-7,8.184226806788885e-10,0.3382991591433631,83,4.175625921831064e-10,1.4471757026426043e-17
/dev/urandom,Y,Y,Y,N,N,65536,hex,1702854.8519982912,2.9635678506291996e-8,5.872491121756533e-7,6.414517879278173e-9,1.0922992893958625,82,3.2727132037133537e-9,8.782734405282974e-16
/dev/urandom,Y,Y,Y,Y,N,65536,hex,1759250.1906827495,3.0821874064766094e-8,5.684239827263619e-7,6.630954788500379e-9,1.1665508476077981,83,3.3831401982144794e-9,9.499879208643007e-16
